SAP_ID,LATITUDE,LONGITUDE
I-DL-DLHI-ENB-3277,28.68989722,77.26976944
I-DL-DLHI-ENB-8283,28.69006,77.28379
I-DL-DLHI-ENB-9465,28.69006667,77.26282222
I-DL-DLHI-ENB-9821,28.69021667,77.25982778
I-DL-DLHI-ENB-6507,28.69045278,77.29880833
I-DL-DLHI-ENB-6579,28.690725,77.255925
I-DL-DLHI-ENB-8868,28.69073333,77.32708056
I-DL-DLHI-ENB-1340,28.69096944,77.26025278
I-DL-DLHI-ENB-9102,28.69105278,77.32410556
I-DL-DLHI-ENB-9824,28.69107222,77.2798
I-DL-DLHI-ENB-1427,28.69111111,77.30526111
I-DL-DLHI-ENB-4229,28.69126389,77.27011111
I-DL-DLHI-ENB-5052,28.69131667,77.26870861
I-DL-DLHI-ENB-4812,28.691425,77.30885278
I-DL-DLHI-ENB-1330,28.69145556,77.27781944
I-DL-DLHI-ENB-3507,28.69153889,77.26363333
I-DL-DLHI-ENB-1366,28.691625,77.31322778
I-DL-DLHI-ENB-4227,28.69165278,77.30690556
I-DL-DLHI-ENB-4215,28.69239444,77.26051389
I-DL-DLHI-ENB-1993,28.69260833,77.274475
I-DL-DLHI-ENB-1333,28.69264444,77.27265833
I-DL-DLHI-ENB-6941,28.69284722,77.29258056
I-DL-DLHI-ENB-2454,28.69293889,77.27529722
I-DL-DLHI-ENB-9822,28.69294722,77.30936667
I-DL-DLHI-ENB-4243,28.69299444,77.26273333
I-DL-DLHI-ENB-9479,28.693175,77.26389444
I-DL-DLHI-ENB-9825,28.69333,77.31722
I-DL-DLHI-ENB-1374,28.69371667,77.28289722
I-DL-DLHI-ENB-6518,28.69378056,77.27572778
I-DL-DLHI-ENB-5522,28.69400278,77.25656389
I-DL-DLHI-ENB-2838,28.69424722,77.27441111
I-DL-DLHI-ENB-6947,28.69438889,77.30670278
I-DL-DLHI-ENB-5785,28.69457778,77.30418611
I-DL-DLHI-ENB-1515,28.69468333,77.26281944
I-DL-DLHI-ENB-4233,28.69479722,77.30104861
I-DL-DLHI-ENB-5520,28.69505,77.32174167
I-DL-DLHI-ENB-1342,28.69510833,77.26793944
I-DL-DLHI-ENB-4235,28.69535278,77.280625
I-DL-DLHI-ENB-3100,28.69545833,77.28876944
I-DL-DLHI-ENB-6564,28.69553333,77.32425833
I-DL-DLHI-ENB-1394,28.69572778,77.2962
I-DL-DLHI-ENB-5946,28.69598611,77.277825
I-DL-DLHI-ENB-9492,28.69617778,77.26428056
I-DL-DLHI-ENB-2858,28.69619722,77.25574722
I-DL-DLHI-ENB-1341,28.69632222,77.25801389
I-DL-DLHI-ENB-3463,28.69634167,77.30834167
I-DL-DLHI-ENB-9827,28.69647222,77.30563333
I-DL-DLHI-ENB-1367,28.69648056,77.31916361
I-DL-DLHI-ENB-1422,28.69695556,77.29996389
I-DL-DLHI-ENB-8801,28.69703056,77.26513333
I-DL-DLHI-ENB-1393,28.69717778,77.28137222
I-DL-DLHI-ENB-2626,28.69724722,77.29583889
I-DL-DLHI-ENB-3684,28.69785833,77.27689444
I-DL-DLHI-ENB-6558,28.69808611,77.26423611
I-DL-DLHI-ENB-3508,28.69865,77.25858889
I-DL-DLHI-ENB-2001,28.69871944,77.29778333
I-DL-DLHI-ENB-1378,28.69923333,77.27205278
I-DL-DLHI-ENB-3073,28.69925,77.29136944
I-DL-DLHI-ENB-5118,28.69964167,77.29590278
I-DL-DLHI-ENB-9830,28.69976389,77.25716667
I-DL-DLHI-ENB-8893,28.69989167,77.27819167
I-DL-DLHI-ENB-3744,28.70022917,77.26368611
I-DL-DLHI-ENB-3460,28.70054,77.30822222
I-DL-DLHI-ENB-9832,28.70063722,77.29985556
I-DL-DLHI-ENB-1335,28.70065056,77.25838889
I-DL-DLHI-ENB-1347,28.70071861,77.28152778
I-DL-DLHI-ENB-3050,28.7008175,77.27615278
I-DL-DLHI-ENB-0053,28.70085556,77.26709556
I-DL-DLHI-ENB-4247,28.70131083,77.30683611
I-DL-DLHI-ENB-8870,28.70148528,77.32414167
I-DL-DLHI-ENB-3735,28.70168972,77.28875
I-DL-DLHI-ENB-3686,28.70203028,77.31037222
I-DL-DLHI-ENB-3738,28.70231361,77.28353833
I-DL-DLHI-ENB-1443,28.70240611,77.29802778
I-DL-DLHI-ENB-6519,28.70248361,77.31394444
I-DL-DLHI-ENB-0052,28.70249,77.2613
I-DL-DLHI-ENB-1350,28.702975,77.28796389
I-DL-DLHI-ENB-3751,28.70308056,77.30371111
I-DL-DLHI-ENB-1428,28.70351944,77.30716667
I-DL-SELP-ENB-9001,28.70368333,77.25174361
I-DL-DLHI-ENB-6937,28.70377778,77.26591111
I-DL-DLHI-ENB-6946,28.70405833,77.29195833
I-DL-DLHI-ENB-1514,28.70408889,77.26268611
I-DL-DLHI-ENB-3689,28.70493056,77.28359111
I-DL-DLHI-ENB-9032,28.70497222,77.25691111
I-DL-DLHI-ENB-4254,28.70501944,77.30548056
I-DL-DLHI-ENB-4252,28.70505833,77.29903333
I-DL-DLHI-ENB-3777,28.70571944,77.29332222
I-DL-DLHI-ENB-9850,28.70605556,77.30007056
I-DL-DLHI-ENB-9849,28.70626944,77.26240278
I-DL-DLHI-ENB-1429,28.70627222,77.31070833
I-DL-DLHI-ENB-1396,28.70632778,77.31932722
I-DL-DLHI-ENB-9852,28.70671389,77.30536111
I-DL-BJUR-ENB-0001,28.70708333,77.29465278
I-DL-DLHI-ENB-1518,28.70715556,77.28545778
I-DL-DLHI-ENB-9851,28.70725278,77.32152222
I-DL-DLHI-ENB-6536,28.70747222,77.29948889
I-DL-DLHI-ENB-9844,28.70771667,77.31378333
